location,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations
India,2020-04-25,286161,8413,3251,95,0
India,2020-04-26,294419,8258,3345,94,0
India,2020-04-27,303645,9226,3450,105,0
India,2020-04-28,312304,8659,3548,98,0
India,2020-04-29,321668,9364,3655,107,0
India,2020-04-30,329190,7522,3740,85,0
India,2020-05-01,335989,6799,3818,78,0
India,2020-05-02,344441,8452,3914,96,0
India,2020-05-03,353783,9342,4020,106,0
India,2020-05-04,364668,10885,4143,123,0
India,2020-05-05,375525,10857,4267,124,0
India,2020-05-06,385428,9903,4379,112,0
India,2020-05-07,395595,10167,4495,116,0
India,2020-05-08,404769,9174,4599,104,0
India,2020-05-09,416002,11233,4727,128,0
India,2020-05-10,425888,9886,4839,112,0
India,2020-05-11,437803,11915,4975,136,0
India,2020-05-12,449202,11399,5104,129,0
India,2020-05-13,461437,12235,5243,139,0
India,2020-05-14,471981,10544,5363,120,0
India,2020-05-15,484468,12487,5505,142,0
India,2020-05-16,495302,10834,5628,123,0
India,2020-05-17,507137,11835,5762,134,0
India,2020-05-18,518664,11527,5893,131,0
India,2020-05-19,531309,12645,6037,144,0
India,2020-05-20,544877,13568,6191,154,0
India,2020-05-21,557301,12424,6332,141,0
India,2020-05-22,570030,12729,6477,145,0
India,2020-05-23,583027,12997,6625,148,0
India,2020-05-24,595849,12822,6771,146,0
India,2020-05-25,609604,13755,6927,156,0
India,2020-05-26,623562,13958,7085,158,0
India,2020-05-27,637282,13720,7241,156,0
India,2020-05-28,651532,14250,7403,162,0
India,2020-05-29,665493,13961,7562,159,0
India,2020-05-30,679938,14445,7726,164,0
India,2020-05-31,695114,15176,7899,173,0
India,2020-06-01,709237,14123,8059,160,0
India,2020-06-02,723200,13963,8218,159,0
India,2020-06-03,738570,15370,8392,174,0
India,2020-06-04,754328,15758,8571,179,0
India,2020-06-05,769633,15305,8745,174,0
India,2020-06-06,785710,16077,8928,183,0
India,2020-06-07,801574,15864,9108,180,0
India,2020-06-08,819020,17446,9307,199,0
India,2020-06-09,835907,16887,9498,191,0
India,2020-06-10,852366,16459,9685,187,0
India,2020-06-11,868617,16251,9870,185,0
India,2020-06-12,885314,16697,10060,190,0
India,2020-06-13,904202,18888,10275,215,0
India,2020-06-14,922186,17984,10479,204,0
India,2020-06-15,939142,16956,10672,193,0
India,2020-06-16,957804,18662,10884,212,0
India,2020-06-17,975976,18172,11090,206,0
India,2020-06-18,993011,17035,11284,194,0
India,2020-06-19,1011776,18765,11497,213,0
India,2020-06-20,1032089,20313,11728,231,0
India,2020-06-21,1050918,18829,11942,214,0
India,2020-06-22,1069592,18674,12154,212,0
India,2020-06-23,1088369,18777,12367,213,0
India,2020-06-24,1107035,18666,12579,212,0
India,2020-06-25,1126971,19936,12806,227,0
India,2020-06-26,1146301,19330,13026,220,0
India,2020-06-27,1167029,20728,13261,235,0
India,2020-06-28,1187044,20015,13489,228,0
India,2020-06-29,1207547,20503,13722,233,0
India,2020-06-30,1227589,20042,13949,227,0
India,2020-07-01,1247452,19863,14175,226,0
India,2020-07-02,1269690,22238,14428,253,0
India,2020-07-03,1292023,22333,14682,254,0
India,2020-07-04,1313470,21447,14925,243,0
India,2020-07-05,1335096,21626,15171,246,0
India,2020-07-06,1358029,22933,15432,261,0
India,2020-07-07,1379728,21699,15678,246,0
India,2020-07-08,1400789,21061,15918,240,0
India,2020-07-09,1423776,22987,16179,261,0
India,2020-07-10,1447181,23405,16445,266,0
India,2020-07-11,1470342,23161,16708,263,0
India,2020-07-12,1494022,23680,16977,269,0
India,2020-07-13,1515657,21635,17223,246,0
India,2020-07-14,1538399,22742,17481,258,0
India,2020-07-15,1562600,24201,17756,275,0
India,2020-07-16,1584786,22186,18008,252,0
India,2020-07-17,1610106,25320,18296,288,0
India,2020-07-18,1633970,23864,18567,271,0
India,2020-07-19,1658364,24394,18845,278,0
India,2020-07-20,1682474,24110,19119,274,0
India,2020-07-21,1706760,24286,19395,276,0
India,2020-07-22,1732327,25567,19685,290,0
India,2020-07-23,1757338,25011,19969,284,0
India,2020-07-24,1782911,25573,20260,291,0
India,2020-07-25,1808942,26031,20556,296,0
India,2020-07-26,1833635,24693,20836,280,0
India,2020-07-27,1859125,25490,21126,290,0
India,2020-07-28,1885300,26175,21423,297,0
India,2020-07-29,1910929,25629,21715,292,0
India,2020-07-30,1937608,26679,22018,303,0
India,2020-07-31,1963077,25469,22307,289,0
India,2020-08-01,1989952,26875,22613,306,0
India,2020-08-02,2016253,26301,22911,298,0
India,2020-08-03,2043816,27563,23225,314,0
India,2020-08-04,2071733,27917,23542,317,0
India,2020-08-05,2097937,26204,23840,298,0
India,2020-08-06,2125742,27805,24156,316,0
India,2020-08-07,2153426,27684,24470,314,0
India,2020-08-08,2181344,27918,24788,318,0
India,2020-08-09,2208808,27464,25100,312,0
India,2020-08-10,2235971,27163,25408,308,0
India,2020-08-11,2263245,27274,25718,310,0
India,2020-08-12,2289657,26412,26018,300,0
India,2020-08-13,2318249,28592,26343,325,0
India,2020-08-14,2346503,28254,26664,321,0
India,2020-08-15,2374137,27634,26978,314,0
India,2020-08-16,2403226,29089,27309,331,0
India,2020-08-17,2432096,28870,27637,328,0
India,2020-08-18,2460249,28153,27957,320,0
India,2020-08-19,2489544,29295,28290,333,0
India,2020-08-20,2518354,28810,28617,327,0
India,2020-08-21,2547967,29613,28954,337,0
India,2020-08-22,2578750,30783,29303,349,0
India,2020-08-23,2608067,29317,29637,334,0
India,2020-08-24,2638524,30457,29983,346,0
India,2020-08-25,2667833,29309,30316,333,0
India,2020-08-26,2699208,31375,30672,356,0
India,2020-08-27,2730190,30982,31024,352,0
India,2020-08-28,2761223,31033,31377,353,0
India,2020-08-29,2793191,31968,31740,363,0
India,2020-08-30,2823413,30222,32084,344,0
India,2020-08-31,2855256,31843,32446,362,0
India,2020-09-01,2886161,30905,32797,351,0
India,2020-09-02,2916768,30607,33145,348,0
India,2020-09-03,2948099,31331,33501,356,0
India,2020-09-04,2979420,31321,33857,356,0
India,2020-09-05,3012425,33005,34232,375,0
India,2020-09-06,3043370,30945,34583,351,0
India,2020-09-07,3076115,32745,34955,372,0
India,2020-09-08,3107589,31474,35313,358,0
India,2020-09-09,3139183,31594,35672,359,0
India,2020-09-10,3173204,34021,36059,387,0
India,2020-09-11,3205260,32056,36423,364,0
India,2020-09-12,3237870,32610,36793,370,0
India,2020-09-13,3268783,30913,37145,352,0
India,2020-09-14,3301296,32513,37514,369,0
India,2020-09-15,3334605,33309,37893,379,0
India,2020-09-16,3368545,33940,38278,385,0
India,2020-09-17,3402934,34389,38669,391,0
India,2020-09-18,3434921,31987,39033,364,0
India,2020-09-19,3467826,32905,39407,374,0
India,2020-09-20,3501591,33765,39790,383,0
India,2020-09-21,3534164,32573,40160,370,0
India,2020-09-22,3567288,33124,40537,377,0
India,2020-09-23,3601119,33831,40921,384,0
India,2020-09-24,3635425,34306,41311,390,0
India,2020-09-25,3669097,33672,41694,383,0
India,2020-09-26,3703260,34163,42082,388,0
India,2020-09-27,3737092,33832,42466,384,0
India,2020-09-28,3770421,33329,42845,379,0
India,2020-09-29,3804796,34375,43236,391,0
India,2020-09-30,3841023,36227,43647,411,0
India,2020-10-01,3875915,34892,44044,397,0
India,2020-10-02,3909229,33314,44423,379,0
India,2020-10-03,3943314,34085,44810,387,0
India,2020-10-04,3978254,34940,45207,397,0
India,2020-10-05,4015289,37035,45628,421,0
India,2020-10-06,4050164,34875,46024,396,0
India,2020-10-07,4087159,36995,46444,420,0
India,2020-10-08,4122398,35239,46845,401,0
India,2020-10-09,4159112,36714,47262,417,0
India,2020-10-10,4194515,35403,47664,402,0
India,2020-10-11,4230514,35999,48074,410,0
India,2020-10-12,4266759,36245,48485,411,0
India,2020-10-13,4302076,35317,48887,402,0
India,2020-10-14,4338104,36028,49296,409,0
India,2020-10-15,4373055,34951,49693,397,0
India,2020-10-16,4408060,35005,50091,398,0
India,2020-10-17,4443849,35789,50498,407,0
India,2020-10-18,4480696,36847,50917,419,0
India,2020-10-19,4516484,35788,51323,406,0
India,2020-10-20,4551653,35169,51723,400,0
India,2020-10-21,4585999,34346,52113,390,0
India,2020-10-22,4623330,37331,52537,424,0
India,2020-10-23,4660227,36897,52957,420,0
India,2020-10-24,4697302,37075,53378,421,0
India,2020-10-25,4732531,35229,53778,400,0
India,2020-10-26,4768483,35952,54187,409,0
India,2020-10-27,4805339,36856,54606,419,0
India,2020-10-28,4840888,35549,55010,404,0
India,2020-10-29,4877036,36148,55420,410,0
India,2020-10-30,4913538,36502,55835,415,0
India,2020-10-31,4949920,36382,56249,414,0
India,2020-11-01,4985403,35483,56652,403,0
India,2020-11-02,5023204,37801,57081,429,0
India,2020-11-03,5060046,36842,57500,419,0
India,2020-11-04,5097497,37451,57926,426,0
India,2020-11-05,5134455,36958,58346,420,0
India,2020-11-06,5170288,35833,58753,407,0
India,2020-11-07,5206729,36441,59167,414,0
India,2020-11-08,5243527,36798,59585,418,0
India,2020-11-09,5281255,37728,60014,429,0
India,2020-11-10,5316652,35397,60416,402,0
India,2020-11-11,5353621,36969,60836,420,0
India,2020-11-12,5389801,36180,61247,411,0
India,2020-11-13,5426402,36601,61663,416,0
India,2020-11-14,5462798,36396,62077,414,0
India,2020-11-15,5500608,37810,62506,429,0
India,2020-11-16,5538171,37563,62933,427,0
India,2020-11-17,5574912,36741,63351,418,0
India,2020-11-18,5611807,36895,63770,419,0
India,2020-11-19,5649187,37380,64195,425,0
India,2020-11-20,5686207,37020,64615,420,0
India,2020-11-21,5722207,36000,65025,410,0
India,2020-11-22,5759676,37469,65450,425,0
India,2020-11-23,5795244,35568,65855,405,0
India,2020-11-24,5832376,37132,66277,422,0
India,2020-11-25,5867734,35358,66678,401,0
India,2020-11-26,5905057,37323,67102,424,0
India,2020-11-27,5942305,37248,67526,424,0
India,2020-11-28,5979363,37058,67947,421,0
India,2020-11-29,6015929,36566,68362,415,0
India,2020-11-30,6052674,36745,68780,418,0
India,2020-12-01,6089513,36839,69199,419,0
India,2020-12-02,6126235,36722,69616,417,0
India,2020-12-03,6162757,36522,70031,415,0
India,2020-12-04,6200872,38115,70464,433,0
India,2020-12-05,6237463,36591,70880,416,0
India,2020-12-06,6273398,35935,71288,408,0
India,2020-12-07,6309462,36064,71698,410,0
India,2020-12-08,6345281,35819,72105,407,0
India,2020-12-09,6381315,36034,72514,409,0
India,2020-12-10,6418157,36842,72933,419,0
India,2020-12-11,6455014,36857,73352,419,0
India,2020-12-12,6491167,36153,73763,411,0
India,2020-12-13,6527462,36295,74175,412,0
India,2020-12-14,6563055,35593,74580,405,0
India,2020-12-15,6599549,36494,74994,414,0
India,2020-12-16,6636154,36605,75410,416,0
India,2020-12-17,6671098,34944,75807,397,0
India,2020-12-18,6706743,35645,76212,405,0
India,2020-12-19,6741365,34622,76606,394,0
India,2020-12-20,6777239,35874,77014,408,0
India,2020-12-21,6812600,35361,77415,401,0
India,2020-12-22,6848252,35652,77821,406,0
India,2020-12-23,6883460,35208,78221,400,0
India,2020-12-24,6919989,36529,78636,415,0
India,2020-12-25,6953982,33993,79022,386,0
India,2020-12-26,6989855,35873,79430,408,0
India,2020-12-27,7024571,34716,79824,394,0
India,2020-12-28,7059044,34473,80216,392,0
India,2020-12-29,7093785,34741,80611,395,0
India,2020-12-30,7128309,34524,81003,392,0
India,2020-12-31,7162187,33878,81388,385,0
India,2021-01-01,7195924,33737,81771,383,0
India,2021-01-02,7230208,34284,82161,390,0
India,2021-01-03,7263838,33630,82543,382,0
India,2021-01-04,7298507,34669,82937,394,0
India,2021-01-05,7332936,34429,83328,391,0
India,2021-01-06,7366874,33938,83714,386,0
India,2021-01-07,7401442,34568,84107,393,0
India,2021-01-08,7435447,34005,84493,386,0
India,2021-01-09,7470562,35115,84892,399,0
India,2021-01-10,7503573,33011,85267,375,0
India,2021-01-11,7537169,33596,85649,382,0
India,2021-01-12,7571002,33833,86034,385,0
India,2021-01-13,7604591,33589,86415,381,0
India,2021-01-14,7637471,32880,86789,374,0
India,2021-01-15,7670169,32698,87161,372,0
India,2021-01-16,7702145,31976,87524,363,0
India,2021-01-17,7735014,32869,87897,373,0
India,2021-01-18,7768322,33308,88276,379,0
India,2021-01-19,7801624,33302,88654,378,0
India,2021-01-20,7835189,33565,89036,382,0
India,2021-01-21,7867855,32666,89407,371,0
India,2021-01-22,7899228,31373,89763,356,0
India,2021-01-23,7930368,31140,90117,354,0
India,2021-01-24,7963606,33238,90495,378,0
India,2021-01-25,7995552,31946,90858,363,0
India,2021-01-26,8027379,31827,91220,362,0
India,2021-01-27,8059586,32207,91586,366,0
India,2021-01-28,8090664,31078,91939,353,0
India,2021-01-29,8120814,30150,92281,342,0
India,2021-01-30,8152156,31342,92638,357,0
India,2021-01-31,8182478,30322,92982,344,0
India,2021-02-01,8213701,31223,93337,355,0
India,2021-02-02,8243819,30118,93679,342,0
India,2021-02-03,8274195,30376,94024,345,0
India,2021-02-04,8303976,29781,94363,339,0
India,2021-02-05,8335682,31706,94723,360,0
India,2021-02-06,8365648,29966,95064,341,0
India,2021-02-07,8395023,29375,95397,333,0
India,2021-02-08,8424769,29746,95736,339,0
India,2021-02-09,8455378,30609,96083,347,0
India,2021-02-10,8484905,29527,96419,336,0
India,2021-02-11,8513775,28870,96747,328,0
India,2021-02-12,8541879,28104,97066,319,0
India,2021-02-13,8570732,28853,97394,328,0
India,2021-02-14,8599216,28484,97718,324,0
India,2021-02-15,8627242,28026,98036,318,0
India,2021-02-16,8655812,28570,98361,325,0
India,2021-02-17,8684911,29099,98692,331,0
India,2021-02-18,8714050,29139,99023,331,0
India,2021-02-19,8743324,29274,99355,332,0
India,2021-02-20,8771569,28245,99676,321,0
India,2021-02-21,8799017,27448,99988,312,0
India,2021-02-22,8825992,26975,100295,307,0
India,2021-02-23,8854058,28066,100614,319,0
India,2021-02-24,8880174,26116,100911,297,0
India,2021-02-25,8906937,26763,101215,304,0
India,2021-02-26,8934794,27857,101531,316,0
India,2021-02-27,8962195,27401,101843,312,0
India,2021-02-28,8989765,27570,102156,313,0
India,2021-03-01,9017372,27607,102470,314,0
India,2021-03-02,9044553,27181,102779,309,0
India,2021-03-03,9070106,25553,103069,290,0
India,2021-03-04,9095944,25838,103363,294,0
India,2021-03-05,9121188,25244,103649,286,0
India,2021-03-06,9146704,25516,103939,290,0
India,2021-03-07,9172027,25323,104227,288,0
India,2021-03-08,9196709,24682,104508,281,0
India,2021-03-09,9222768,26059,104804,296,0
India,2021-03-10,9249889,27121,105112,308,0
India,2021-03-11,9274546,24657,105392,280,0
India,2021-03-12,9298796,24250,105668,276,0
India,2021-03-13,9322206,23410,105934,266,0
India,2021-03-14,9348870,26664,106237,303,0
India,2021-03-15,9373545,24675,106517,280,0
India,2021-03-16,9397311,23766,106787,270,2831402
India,2021-03-17,9420268,22957,107048,261,5662805
India,2021-03-18,9442733,22465,107303,255,8494208
India,2021-03-19,9466451,23718,107573,270,11325611
India,2021-03-20,9489433,22982,107834,261,14157014
India,2021-03-21,9512168,22735,108092,258,16988416
India,2021-03-22,9535830,23662,108361,269,19819819
India,2021-03-23,9558967,23137,108624,263,22651222
India,2021-03-24,9580941,21974,108874,250,25482625
India,2021-03-25,9603454,22513,109130,256,28314028
India,2021-03-26,9626027,22573,109386,256,31145431
India,2021-03-27,9647987,21960,109636,250,33976833
India,2021-03-28,9670194,22207,109888,252,36808236
India,2021-03-29,9691192,20998,110127,239,39639639
India,2021-03-30,9713216,22024,110377,250,42471042
India,2021-03-31,9734804,21588,110622,245,45302445
India,2021-04-01,9755379,20575,110856,234,48133848
India,2021-04-02,9777090,21711,111103,247,50965250
India,2021-04-03,9797466,20376,111334,231,53796653
India,2021-04-04,9818729,21263,111576,242,56628056
India,2021-04-05,9838456,19727,111800,224,59459459
India,2021-04-06,9858078,19622,112023,223,62290862
India,2021-04-07,9877881,19803,112248,225,65122265
India,2021-04-08,9898240,20359,112480,232,67953667
India,2021-04-09,9918220,19980,112707,227,70785070
India,2021-04-10,9937588,19368,112927,220,73616473
India,2021-04-11,9956435,18847,113141,214,76447876
India,2021-04-12,9974871,18436,113350,209,79279279
India,2021-04-13,9993892,19021,113566,216,82110682
India,2021-04-14,10013177,19285,113786,220,84942084
India,2021-04-15,10030916,17739,113987,201,87773487
India,2021-04-16,10049134,18218,114194,207,90604890
India,2021-04-17,10066523,17389,114392,198,93436293
India,2021-04-18,10084803,18280,114600,208,96267696
India,2021-04-19,10101507,16704,114789,189,99099099
India,2021-04-20,10119086,17579,114989,200,101930501
India,2021-04-21,10135417,16331,115175,186,104761904
India,2021-04-22,10152308,16891,115367,192,107593307
India,2021-04-23,10169373,17065,115561,194,110424710
India,2021-04-24,10185306,15933,115742,181,113256113
India,2021-04-25,10200593,15287,115915,173,116087516
India,2021-04-26,10216575,15982,116097,182,118918918
India,2021-04-27,10232062,15487,116273,176,121750321
India,2021-04-28,10246973,14911,116442,169,124581724
India,2021-04-29,10261669,14696,116609,167,127413127
India,2021-04-30,10275563,13894,116767,158,130244530
India,2021-05-01,10289809,14246,116929,162,133075933
India,2021-05-02,10306220,16411,117116,187,135907335
India,2021-05-03,10320112,13892,117274,158,138738738
India,2021-05-04,10334585,14473,117438,164,141570141
India,2021-05-05,10349096,14511,117603,165,144401544
India,2021-05-06,10362842,13746,117759,156,147232947
India,2021-05-07,10376968,14126,117920,161,150064350
India,2021-05-08,10390798,13830,118077,157,152895752
India,2021-05-09,10406062,15264,118250,173,155727155
India,2021-05-10,10419911,13849,118408,158,158558558
India,2021-05-11,10433658,13747,118564,156,161389961
India,2021-05-12,10447726,14068,118724,160,164221364
India,2021-05-13,10460135,12409,118865,141,167052767
India,2021-05-14,10472680,12545,119007,142,169884169
India,2021-05-15,10483997,11317,119136,129,172715572
India,2021-05-16,10496602,12605,119279,143,175546975
India,2021-05-17,10508617,12015,119416,137,178378378
India,2021-05-18,10520979,12362,119556,140,181209781
India,2021-05-19,10532759,11780,119690,134,184041184
India,2021-05-20,10544591,11832,119824,134,186872586
India,2021-05-21,10557314,12723,119969,145,189703989
India,2021-05-22,10569563,12249,120108,139,192535392
India,2021-05-23,10579112,9549,120217,109,195366795
India,2021-05-24,10590300,11188,120344,127,198198198
India,2021-05-25,10600408,10108,120459,115,201029601
India,2021-05-26,10611020,10612,120579,120,203861003
India,2021-05-27,10620751,9731,120690,111,206692406
India,2021-05-28,10630940,10189,120806,116,209523809
India,2021-05-29,10641207,10267,120922,116,212355212
India,2021-05-30,10651401,10194,121038,116,215186615
India,2021-05-31,10661338,9937,121151,113,218018018
India,2021-06-01,10671364,10026,121265,114,220849420
India,2021-06-02,10680278,8914,121366,101,223680823
India,2021-06-03,10688349,8071,121458,92,226512226
India,2021-06-04,10697576,9227,121563,105,229343629
India,2021-06-05,10706770,9194,121667,104,232175032
India,2021-06-06,10714803,8033,121759,92,235006435
India,2021-06-07,10723553,8750,121858,99,237837837
India,2021-06-08,10731768,8215,121951,93,240669240
India,2021-06-09,10739835,8067,122043,92,243500643
India,2021-06-10,10748294,8459,122139,96,246332046
India,2021-06-11,10756107,7813,122228,89,249163449
India,2021-06-12,10763940,7833,122317,89,251994851
India,2021-06-13,10771518,7578,122403,86,254826254
India,2021-06-14,10778694,7176,122485,82,257657657
India,2021-06-15,10785842,7148,122566,81,260489060
India,2021-06-16,10792966,7124,122647,81,263320463
India,2021-06-17,10800954,7988,122738,91,266151866
India,2021-06-18,10806682,5728,122803,65,268983268
India,2021-06-19,10813533,6851,122881,78,271814671
India,2021-06-20,10819941,6408,122953,72,274646074
India,2021-06-21,10825872,5931,123021,68,277477477
India,2021-06-22,10831424,5552,123084,63,280308880
India,2021-06-23,10837973,6549,123158,74,283140283
India,2021-06-24,10845367,7394,123242,84,285971685
India,2021-06-25,10850334,4967,123299,57,288803088
India,2021-06-26,10855850,5516,123361,62,291634491
India,2021-06-27,10861772,5922,123429,68,294465894
India,2021-06-28,10868391,6619,123504,75,297297297
India,2021-06-29,10874194,5803,123570,66,300128700
India,2021-06-30,10879212,5018,123627,57,302960102
India,2021-07-01,10883161,3949,123672,45,305791505
India,2021-07-02,10889210,6049,123741,69,308622908
India,2021-07-03,10894316,5106,123799,58,311454311
India,2021-07-04,10899038,4722,123852,53,314285714
India,2021-07-05,10903040,4002,123898,46,317117117
India,2021-07-06,10907844,4804,123952,54,319948519
India,2021-07-07,10912229,4385,124002,50,322779922
India,2021-07-08,10917368,5139,124061,59,325611325
India,2021-07-09,10921613,4245,124109,48,328442728
India,2021-07-10,10925975,4362,124158,49,331274131
India,2021-07-11,10929111,3136,124194,36,334105534
India,2021-07-12,10931727,2616,124224,30,336936936
India,2021-07-13,10935580,3853,124267,43,339768339
India,2021-07-14,10938879,3299,124305,38,342599742
India,2021-07-15,10942851,3972,124350,45,345431145
India,2021-07-16,10945211,2360,124377,27,348262548
India,2021-07-17,10949802,4591,124429,52,351093951
India,2021-07-18,10952347,2545,124458,29,353925353
India,2021-07-19,10954977,2630,124488,30,356756756
India,2021-07-20,10958610,3633,124529,41,359588159
India,2021-07-21,10961234,2624,124559,30,362419562
India,2021-07-22,10964773,3539,124599,40,365250965
India,2021-07-23,10967602,2829,124631,32,368082368
India,2021-07-24,10969289,1687,124651,20,370913770
India,2021-07-25,10971268,1979,124673,22,373745173
India,2021-07-26,10973428,2160,124698,25,376576576
India,2021-07-27,10975389,1961,124720,22,379407979
India,2021-07-28,10977177,1788,124740,20,382239382
India,2021-07-29,10980561,3384,124779,39,385070785
India,2021-07-30,10981296,735,124787,8,387902187
India,2021-07-31,10981839,543,124793,6,390733590
India,2021-08-01,10983816,1977,124816,23,393564993
India,2021-08-02,10986701,2885,124848,32,396396396
India,2021-08-03,10987383,682,124856,8,399227799
India,2021-08-04,10988659,1276,124871,15,402059202
India,2021-08-05,10990812,2153,124895,24,404890604
India,2021-08-06,10992474,1662,124914,19,407722007
India,2021-08-07,10993738,1264,124928,14,410553410
India,2021-08-08,10995323,1585,124946,18,413384813
India,2021-08-09,10996512,1189,124960,14,416216216
India,2021-08-10,10996606,94,124961,1,419047619
India,2021-08-11,10996714,108,124962,1,421879021
India,2021-08-12,10996974,260,124965,3,424710424
India,2021-08-13,10998329,1355,124981,16,427541827
India,2021-08-14,10998744,415,124985,4,430373230
India,2021-08-15,10999813,1069,124997,12,433204633
India,2021-08-16,10999921,108,124999,2,436036036
India,2021-08-17,11000063,142,125000,1,438867438
India,2021-08-18,11000564,501,125006,6,441698841
India,2021-08-19,11001041,477,125011,5,444530244
India,2021-08-20,11001771,730,125020,9,447361647
India,2021-08-21,11002118,347,125024,4,450193050
India,2021-08-22,11002670,552,125030,6,453024453
India,2021-08-23,11003164,494,125035,5,455855855
India,2021-08-24,11004461,1297,125050,15,458687258
India,2021-08-25,11005008,547,125056,6,461518661
India,2021-08-26,11005731,723,125065,9,464350064
India,2021-08-27,11007027,1296,125079,14,467181467
India,2021-08-28,11007706,679,125087,8,470012870
India,2021-08-29,11008466,760,125096,9,472844272
India,2021-08-30,11008529,63,125096,0,475675675
India,2021-08-31,11009496,967,125107,11,478507078
India,2021-09-01,11010800,1304,125122,15,481338481
India,2021-09-02,11011179,379,125127,5,484169884
India,2021-09-03,11011560,381,125131,4,487001287
India,2021-09-04,11011992,432,125136,5,489832689
India,2021-09-05,11012589,597,125143,7,492664092
India,2021-09-06,11013241,652,125150,7,495495495
India,2021-09-07,11013546,305,125153,3,498326898
India,2021-09-08,11013792,246,125156,3,501158301
India,2021-09-09,11013911,119,125158,2,503989703
India,2021-09-10,11013956,45,125158,0,506821106
India,2021-09-11,11014482,526,125164,6,509652509
India,2021-09-12,11014866,384,125168,4,512483912
India,2021-09-13,11015409,543,125175,7,515315315
India,2021-09-14,11015560,151,125176,1,518146718
India,2021-09-15,11015970,410,125181,5,520978120
India,2021-09-16,11016470,500,125187,6,523809523
India,2021-09-17,11017016,546,125193,6,526640926
India,2021-09-18,11017145,129,125194,1,529472329
India,2021-09-19,11018309,1164,125208,14,532303732
India,2021-09-20,11018492,183,125210,2,535135135
India,2021-09-21,11019580,1088,125222,12,537966537
India,2021-09-22,11019771,191,125224,2,540797940
India,2021-09-23,11020310,539,125230,6,543629343
India,2021-09-24,11020544,234,125233,3,546460746
India,2021-09-25,11021233,689,125241,8,549292149
India,2021-09-26,11021947,714,125249,8,552123552
India,2021-09-27,11022240,293,125252,3,554954954
India,2021-09-28,11023461,1221,125266,14,557786357
India,2021-09-29,11024340,879,125276,10,560617760
India,2021-09-30,11024640,300,125280,4,563449163
India,2021-10-01,11024650,10,125280,0,566280566
India,2021-10-02,11024912,262,125283,3,569111969
India,2021-10-03,11026129,1217,125296,13,571943371
India,2021-10-04,11026667,538,125303,7,574774774
India,2021-10-05,11027240,573,125309,6,577606177
India,2021-10-06,11027855,615,125316,7,580437580
India,2021-10-07,11028178,323,125320,4,583268983
India,2021-10-08,11029620,1442,125336,16,586100386
India,2021-10-09,11030486,866,125346,10,588931788
India,2021-10-10,11032147,1661,125365,19,591763191
India,2021-10-11,11032634,487,125370,5,594594594
India,2021-10-12,11032657,23,125371,1,597425997
India,2021-10-13,11033592,935,125381,10,600257400
India,2021-10-14,11033867,275,125384,3,603088803
India,2021-10-15,11034279,412,125389,5,605920205
India,2021-10-16,11035215,936,125400,11,608751608
